"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","BPAN4"
2020-09-03,-2.29176919662147,-2.32403754864119,-2.29434828129313,-2.23932049421884,-2.05595246828952,-2.37924923783312,-2.33495195014079,-1.99412805683155
2020-09-04,-2.29108494879707,-2.32355331516818,-2.30849531912289,-2.23385113266919,-2.0167497557721,-2.38734258942265,-2.3241726548402,-1.9924653321471
2020-09-08,-2.33657423921477,-2.38216241693698,-2.33843593275087,-2.25564542366131,-2.02178712013637,-2.40304732120682,-2.37844494935873,-1.97911541940531
2020-09-09,-2.33493136709759,-2.38322339606753,-2.34067359286286,-2.25572885798001,-2.0333130004356,-2.38796907703601,-2.36428534753641,-1.96576483805723
2020-09-10,-2.33347955484837,-2.3751997464508,-2.33417945740125,-2.26641858799633,-2.0643419758009,-2.35468503956889,-2.35971826398695,-1.98260613610641
2020-09-11,-2.34892123176112,-2.38868091441598,-2.34860902293772,-2.30949335574591,-2.09057153234049,-2.35178782813824,-2.36906415763662,-2.05316772086009
2020-09-14,-2.32997466127049,-2.38630935822113,-2.3579134336253,-2.31639371952387,-2.08903031196142,-2.36556093087171,-2.3704622626388,-2.04705393579199
2020-09-15,-2.34927267311232,-2.38362935919985,-2.3625443531145,-2.33275026460809,-2.09701121839128,-2.34727107340276,-2.40644693345188,-2.04757673314668
2020-09-16,-2.3534777420275,-2.39828448749177,-2.39002487716298,-2.37997764591941,-2.13254231645043,-2.36680183443509,-2.42309435633484,-2.09010286463054
2020-09-17,-2.37888388130412,-2.41097698827123,-2.39810618274167,-2.38306686442141,-2.17896575089845,-2.37531761844165,-2.44899861376698,-2.10652192673919
2020-09-18,-2.36992161415608,-2.41147385490385,-2.38467203893473,-2.3832313656165,-2.15986832021864,-2.36970729376886,-2.43894772084072,-2.08630108121287
2020-09-21,-2.37459447782018,-2.41314996608255,-2.3736972648936,-2.36475166988502,-2.16200037705637,-2.35743270470508,-2.44310347381809,-2.03734718098326
2020-09-22,-2.37309859600052,-2.40682137015148,-2.34818116012222,-2.35818799873044,-2.12088339046517,-2.35151902677224,-2.42332234076142,-2.0316396408632
2020-09-23,-2.3753622019123,-2.41409117069948,-2.377917121343,-2.3703760381793,-2.11600528185164,-2.37882284057291,-2.41251792840071,-2.08032257477968
2020-09-24,-2.35375878738687,-2.41185490971767,-2.36741089806452,-2.36627438456893,-2.1278306363499,-2.35162402946962,-2.40084287804134,-2.05797552873105
2020-09-25,-2.36858154367665,-2.43115162595893,-2.39571676832804,-2.3798222644308,-2.17379162791531,-2.37973312582763,-2.42720440191323,-2.07508634758869
2020-09-28,-2.29877075855908,-2.37289255920004,-2.33699485786388,-2.2664559677018,-2.13350476853521,-2.31938841359987,-2.39414648283164,-2.02593550795095
2020-09-29,-2.29809131413412,-2.37885959082334,-2.33154912360811,-2.25630726428923,-2.12152053806089,-2.30958168842627,-2.39941781262455,-2.01944419864247
2020-09-30,-2.30656690378266,-2.38438329677099,-2.32338729061122,-2.23816776168286,-2.12123205867257,-2.32841348242577,-2.39014163109177,-2.03683848478806
2020-10-01,-2.31561980223651,-2.39385518152757,-2.32008790366333,-2.22763811240473,-2.11841533248121,-2.32569785034021,-2.38863620990373,-2.02962051678238
2020-10-02,-2.26731742823215,-2.3170484513447,-2.25311011276907,-2.18898785854149,-2.09790014508669,-2.30906965810302,-2.35265151301189,-2.02946836729234
2020-10-05,-2.31035169261374,-2.34185876345608,-2.28706347459789,-2.22817407857912,-2.11764091445906,-2.3381603233859,-2.35498505004242,-2.04550938434566
2020-10-06,-2.31386173765128,-2.3447682673196,-2.2944811362333,-2.24664494498423,-2.16601784546855,-2.34765258186049,-2.35172945418093,-2.06520745995828
2020-10-07,-2.33049925446357,-2.35330327755523,-2.29825028981206,-2.25505875500473,-2.17237294599067,-2.35652799747537,-2.34706066468134,-2.07077377598308
2020-10-08,-2.28096651200024,-2.32518967800333,-2.25776690173697,-2.20982646717862,-2.17655195167834,-2.34270764695009,-2.35769979712971,-2.03171018478605
